
 Count of not schedulable tasksets: 57 
 Mean of utilization:    0.549 
 Median of utilization:    0.547 
 Indiv. Chain Reaction time and WCRT in multi-chain model without deadline miss termination 
  chnPrio   ReactT     WCRT   origID 
      18  199.000   -1.000       20 
      19  199.000   -1.000       17 
      20  199.000   -1.000        6 
      21  199.000   -1.000       10 
      22 1999.000   -1.000       21 
      23 1999.000   -1.000        1 

Min. utilization: 0.362 
       1    2.144    0.144       15 
       2    3.144    1.144       10 
       3 2270.393 1135.197        3 
       4  116.969   56.969       34 
       5  314.554  114.554       38 
       6  229.445  114.723       30 
       7    4.663    2.332       11 
       8    7.462    3.462       17 
       9    7.647    3.647       21 
      10    7.833    3.833       35 
      11  172.979   72.979       25 
      12 3435.361 1435.361       32 
      13  291.157  145.579       28 
      14   37.411   17.411       36 
      15   37.984   17.984       20 
      16   38.571   18.571       29 
      17 3597.787 1597.787       39 
      18   45.358   22.679        1 
      19   45.747   22.874       23 
      20  351.631  175.816       19 
      21   52.793   26.397       26 
      22   55.085   27.543        5 
      23   57.843   28.922        2 
      24   58.638   29.319        6 
      25 4033.945 2016.972        7 
      26  100.646   50.323       37 
      27  101.131   50.565       24 
      28  102.178   51.089       27 
      29  227.883  113.942        8 
      30  228.871  114.435       22 
      31  433.937  216.969        9 
      32  435.549  217.774       31 
      33  437.910  218.955        4 
      34  438.358  219.179       16 
      35  439.159  219.579       18 
      36  454.403  227.201       14 
      37  454.874  227.437       12 
      38 4275.445 2137.723       33 
      39 4275.467 2137.733       13 

Min. utilization: 0.535 
       1    2.366    0.366        4 
       2    3.366    1.366       21 
       3  179.273   79.273        9 
       4  159.688   79.844       20 
       5    7.210    3.605       23 
       6    7.453    3.726       13 
       7   23.933   11.966       18 
       8   26.809   13.404        8 
       9   27.581   13.791       15 
      10   95.081   47.541       11 
      11   31.116   15.558       12 
      12   31.865   15.932       17 
      13   55.450   27.725        7 
      14  115.991   57.995       22 
      15   66.029   33.015       14 
      16  557.952  278.976       10 
      17  287.760  143.880        3 
      18  287.959  143.979       19 
      19 5570.640 2785.320        1 
      20  570.215  285.107        2 
      21  571.141  285.571       16 
      22  573.962  286.981        5 
      23 5626.087 2813.044        6 

Min. utilization: 0.822 
       1    4.076    0.076        5 
       2    6.076    2.076       20 
       3  303.958  103.958       18 
       4    6.578    2.578       21 
       5   61.713   21.713       16 
       6    6.782    2.782        4 
       7  214.961  107.481       25 
       8    6.911    2.911        7 
       9    6.971    2.971       10 
      10    7.031    3.031       13 
      11    7.090    3.090       24 
      12   32.602   12.602       23 
      13  235.086  117.543       12 
      14 2350.965 1175.483       11 
      15   65.571   25.571       15 
      16  319.137  119.137        6 
      17  319.263  119.263        9 
      18  319.497  119.497        3 
      19  319.534  119.534        1 
      20  638.384  238.384        8 
      21  638.416  238.416       14 
      22 3182.946 1182.946       22 
      23 3182.949 1182.949        2 
      24 3182.953 1182.953       19 
      25 3182.958 1182.958       17 

Min. utilization: 0.519 
       1 1001.213    0.213       12 
       2 3000.213 1000.213       21 
       3    3.663    1.663       19 
       4   23.373   11.687        2 
       5   33.135   13.135        1 
       6   17.129    7.129       20 
       7   17.363    7.363       15 
       8 2476.437 1238.219       11 
       9   67.113   27.113        7 
      10   67.428   27.428        6 
      11   67.508   27.508       18 
      12   67.593   27.593       17 
      13   67.891   27.891       16 
      14  329.623  129.623       22 
      15  329.740  129.740        9 
      16  329.770  129.770        8 
      17  330.588  130.588       10 
      18  657.983  257.983       13 
      19 3277.501 1277.501        4 
      20 3277.516 1277.516        3 
      21 3277.520 1277.520       14 
      22 3277.523 1277.523        5 

Min. utilization: 0.624 
       1    4.225    0.225       18 
       2    3.225    1.225       15 
       3  229.458  114.729       11 
       4  230.412  115.206       12 
       5   24.815   12.408       19 
       6    7.471    3.471        1 
       7    7.551    3.551       14 
       8    7.598    3.598       24 
       9   17.318    7.318       16 
      10   17.507    7.507        6 
      11   17.756    7.756       26 
      12   35.680   15.680        4 
      13   36.759   16.759        9 
      14   37.119   17.119       27 
      15  354.959  154.959        8 
      16   73.499   33.499       13 
      17   73.964   33.964        3 
      18  179.616   79.616        2 
      19 3586.922 1586.922       23 
      20  363.732  163.732        5 
      21  363.815  163.815        7 
      22  363.886  163.886       21 
      23  363.972  163.972       20 
